username,user_id,access_hash
AchadinhosShopee2029,6785601942,-2388398339895383720
AHmayra,5341982630,-1686583021351275941
eosoaksw,6188128025,-3814454748822402502
Brothersxv,1930994431,6787473862559172451
bauer42,5316007518,2869975218324394591
GHziinXx,1492359082,1712658222129804980
Sink07,5346376352,-8775735623588559797
Dedehreis,6890108093,-8215738939842564818
Elcintra,1280191573,-4871300884529202647
Akirakitomo,5862436637,2138763248826225248
Mandale_vendas,5834942544,7066186807811571211
achados_dabia,7648333558,5816018174866428055
Joelson_trader,6105848299,4941500984047348167
Andre_Tuffy,960899293,5979490695941481453
igPedro,5409964770,5079420848149871802
traje_de_quebrada,2063109589,-2889654419781377215
natannnsjjj,7841429750,-1860436576109095052
Agatasoaresmurta,1993283719,-5059039850779456695
renata_azevedo167qi,7784484851,8265588809530744379
rony_costa191cm,8058400622,-9095872532419817692
Lari_jr,5930434971,-2353669912996079494
Jehsf,923332215,2925202560884960052
AnaCMatias,1519425339,-8166564127733644666
carlos_costa494fx,7603942410,-1418318319149953171
joaoestevaooficial,2092301436,-3037632023543050617
Silvaneialves90,1453815475,2549090232875373121
jessica_ribeiro867gc,7604694707,3791163120138881421
raimundo_silva515uo,8039534034,-114356247752419554
mario_santos112xv,7505223397,6022282069863713912
juliana_castro204qf,7884171117,9088791256421378196
denise_faria573xa,7918037638,1035840467825466411
salvador_siqueira673az,7573572050,-7542691675348101126
marlene_souza156nx,7218652275,-1022439966833264686
vinicius_franco992qd,8090642705,-8992103853065897099
camila_martins869us,7363328566,-1252001730876783524
tahoff4,1918175633,-6610621810103636917
yangoyango,1195266375,3668733110062595054
DANIELA_0001,6218724901,-1398152185463810942
redetudo,277147683,-7505930272493122438
Oladl04,1945559333,-3625640153014292729
LeyrisvanCosta,2025393170,-8335187119964432418
Jhonsiva,2096116496,6742153589751170494
LapisZN,5463340019,-6316311772483464467
Dayjulu,5743537453,-5605338436428421117
gabrielcrvlho,6168948650,-3971822293638125050
dlsf7,6554019992,-2509013904268831257
incrivel_hulk,7281405322,-4958430245693975495
WilbertoDuarte,855092950,690313651779691725
krissilva_21,1988297142,-4675494743799103319
AllyOlli,5517524240,7755172691228906602
Alessandrod2,7132594154,827338359502051702
anaafgt,8059083160,-6502680509690016349
Cosmejose,1273716823,-10939203320823948
rafaelarocha64799,6598199089,5331697956225424463
Annymarya56,6665203159,2137251095204096328
N4sciment,7182183123,5539118629619682305
Juninho_santos2066,920759661,4096155931457650279
andersondsr,1438254469,1635677178694360106
yawaatta,1886570189,-1769350149711816364
pknoliveira,6497676333,-1400341926400796104
Paulo5643,6848897721,-5808375635914618537
rei777k,7062905445,8538835478431126200
user92362827,1257939912,-2168899525265385120
Jacksoncleidiane,2097153964,-3313818136030081235
msh7HR,5439137371,7253289970131134919
wellingtonsantoswh252521,5737220212,-8597137998876892969
bnneguinho,6010685274,-1047560442033257808
andressasilva96,6116460666,7648575284732716886
iizamenezes,6238862534,6063951095826279540
Jaque_cris,6365453876,7601678836691624574
alex14454,6759127449,-7434345062542163513
Marinhooxd,6801683419,8874539257002305469
luismacedd,1301754611,5166327777364464609
Drica_35,1562120715,6601100865239264607
felippecorreia,1675500030,2482684060977730365
Marquessuel,1741466886,-6827336223337791731
Thallysson234,2038230918,3265348520401367438
Hsgesso,5033514507,7301703677462553861
iwndiwndndiejd,5474074278,-2325045612414341898
Annyebts,6213805725,1080862550360922540
Helenoparaglyder,7046160349,-5755185372990576711
Ellenkallyne,7055438157,8525841843058651869
brenancio,211365088,-5431204763416900065
Schorr_cwb,989821738,3200514850723581642
Marcelohanma,1423547106,-146312854942652063
DLYYSS,1737888679,-8503286287764317039
Boseyour,5474714186,-4108000514906836028
earningboss22,6156121208,285070185150586415
Domushonding,6327708430,8459513396850680045
BielG53,1011819714,-1121723012133604381
andrelima1979,1831214887,3425347574257430893
Pedro99877,2065476022,7696148556119280316
acessoriamariafreitas,5392094910,-883552923987658454
Laisehelena,6825846288,3741262951970414454
ADM_ANTONIO,7160286077,-5440551742692775161
Ganjosf,840463897,-108986288001959981
gabezin1280,1114759491,4922582229840741120
VLLC199,5529226421,8114690972668742046
Tjlgg,5628082489,5720399578688901122
eomago,5799216238,464088219432206354
CarolinaWright_751,5837710807,8233666295766707471
Geyslerbernardes,6103969668,8928237994502998025
Alessandrograu,6156784086,-558883848062798509
magic_engagement,6745960631,-6609983130465464005
MairaPi,6805227097,8541765997733070258
Card_Crakerrs,7486745718,-5154568558431936263
pirilin27,1257097393,7364731256331817075
aseguirluchando,1635867214,-1720921024125658878
raul_de_franja,1762301451,-3224439556957248597
Ialisson,5023018816,2989793212419581236
Gustavomoraes22,5539329726,-4663008700007061317
simonelimaAndrade,5657251395,-4774460681847038571
skzbangot,1035495171,-3125131435104557132
SantosLu,1053588593,-8040429291055840866
Jesus1483,1086638324,-4959239683898633512
aninhaa1702,1162150124,2041742837082295571
barbosaandrei,1232324365,-5312131567949397633
Tonmacedo,1550660342,8928689659858105107
Voltechmateus,5933265074,251429543527503790
giovannamillena,6628481906,-2009095696125652683
Jajaxx8,6976529664,5561723806175103371
dsalvex,342286406,8395848282614291694
anapaulaapsl,933435248,775135188254326574
lxzero3,2056412324,3571232932970270850
DaviiDuarte,2103023987,1733100917691495632
railammarques,5367737386,4355930043124687153
Isabellysilva3,5954416065,-7837521354273587369
jpzin67,5983599954,-794604828524581983
aaronlamddscpyav,6415358197,-6978157296898350728
nilmaina,6494001159,-3917480241901280533
williamcastronone88278,6797794394,1646546034261972036
Valmir_Mauricio,77924785,-8678009547631505070
aalivari,834742443,4160510928663572949
diegogb009,1219132969,-5175806369351924602
akili0011,1804956743,-5193479292648756565
Nunes_777,2017722112,-4601717160762202112
Frankhdes,2071167028,-1716165815980661881
mertalab,5090807410,6878966305220740505
Canhotinho10,5307580225,-5007304582782322798
CadastrouGanhaBonusBoaSorte,5910366018,-2340275378318901624
Nasuda,6130718373,7309684732842032496
MORENA5050,6523215160,1035924279372192557
jakir_hasaan,6560755822,4352221495694866346
popbem12,6666600352,5299835757187254574
BrunaBordignonDalbosco,689890500,-8089746936186563
Sen_15,702273729,8998647442554979968
investorceleb,927561018,-1949374185535916193
Aletrader27,1800674174,8713592960615708298
HDione23,5878354081,6715199910480889696
Nft776,5927144995,-8563678592987033557
Ssntosgisele,6346354569,359158168745172767
donaformiga18,6717047710,731890332202707254
Renegadomotta,7815160286,-2134971232697502534
kaiomaraj,539235041,-1887979276961726677
Hendryl97,5521071933,-9199771159618573113
Mimy_07,5528355367,6306728573551556674
Randeralves,5816738194,5626839871392048635
Aguiarmembro_ativos,6433757362,2549683274495437274
Meiryoliv,6784345095,179255397004208808
Fumei1KGdeICE,6867979990,817871140770601064
STARTMELLTS7,7099718589,-3193064131010667951
xXxhnsnsn,7124319655,-6680899760096299725
Tacihl,1488209675,8601333857704383665
Kaay_19,1727305312,-4869164899939298120
